paradigm,condition,onset,difficulty,match,item1,item2,response,rt,correct,newDifficulty
rhymewritten,perceptual,302.875,7,1,ЖΘΦΞΓϞ,ЖΘΦΞΓϞ,1,1.616,1,7
rhymewritten,perceptual,305.724,7,0,ŒƱƕΘΔ,ŒƱƕƕΔ,0,0,1,7
rhymewritten,perceptual,308.573,7,0,ƟƏΓƟΨ,ΨƏΓƟΨ,0,0,1,7
rhymewritten,perceptual,311.439,7,1,ΔƏΞƜΘƘ,ΔƏΞƜΘƘ,1,1.149,1,7
rhymewritten,perceptual,314.288,7,0,ƕЖʖΘƟƏ,ƕЖʖΘδƏ,0,0,1,7
rhymewritten,perceptual,317.154,7,1,ΔЖƧδƏ,ΔЖƧδƏ,1,1.874,1,7
rhymewritten,language,320.02,3,0,sutten,pitten,1,1.768,0,1
rhymewritten,language,322.502,1,0,soom,soob,0,0,1,1
rhymewritten,language,325.018,1,1,besh,fesh,1,0.914,1,2
rhymewritten,language,327.517,2,1,zow,lao,1,1.295,1,2
rhymewritten,language,330.016,2,0,laip,lail,0,0,1,3
rhymewritten,language,332.515,3,0,bartion,naction,1,1.672,0,1
rhymewritten,language,335.014,1,1,stap,drap,1,1.453,1,1
rhymewritten,language,337.513,1,1,zick,fick,1,1.074,1,2
rhymewritten,perceptual,340.013,7,0,ƜŒδƧΦ,ϞŒδƧΦ,0,0,1,7
rhymewritten,perceptual,342.512,7,1,ϞƟΓΔ,ϞƟΓΔ,1,0.892,1,7
rhymewritten,perceptual,345.011,7,0,ƧʖƩΦΦ,ΘʖƩΦΦ,0,0,1,7
rhymewritten,perceptual,347.51,7,1,ΦʖΨΞ,ΦʖΨΞ,1,0.918,1,7
rhymewritten,perceptual,350.009,7,0,ŒϞΦЖ,ΞϞΦЖ,0,0,1,7
rhymewritten,perceptual,352.508,7,0,ΔƧƘƱ,ΔƧƘƕ,0,0,1,7
rhymewritten,perceptual,355.007,7,1,ΨΞϞδΔ,ΨΞϞδΔ,1,1.844,1,7
rhymewritten,perceptual,357.506,7,1,ƩƜΘΘ,ƩƜΘΘ,1,1.337,1,7
rhymewritten,language,360.006,2,1,mook,wook,1,1.069,1,2
rhymewritten,language,362.871,2,0,woap,woop,1,2.156,0,1
rhymewritten,language,365.72,1,1,shan,pran,1,1.787,1,1
rhymewritten,language,368.586,1,1,wint,rint,1,1.938,1,2
rhymewritten,language,371.435,2,0,zay,zau,0,0,1,2
rhymewritten,language,374.301,2,0,sarr,sair,0,0,1,3
rhymewritten,language,377.15,3,1,mosiph,coasiff,1,1.262,1,3
rhymewritten,perceptual,380.015,7,0,ƜΞΔΦ,ΓΞΔΦ,0,0,1,7
rhymewritten,perceptual,382.864,7,1,ƕΞƧƟ,ƕΞƧƟ,1,0.923,1,7
rhymewritten,perceptual,385.73,7,0,ŒЖŒΓ,ŒЖŒΞ,0,0,1,7
rhymewritten,perceptual,388.579,7,1,ƋϞƋϞ,ƋϞƋϞ,1,1.176,1,7
rhymewritten,perceptual,391.445,7,1,ΘδΓΓ,ΘδΓΓ,1,1.262,1,7
rhymewritten,perceptual,394.294,7,0,ΘΨƧƧ,ΘΨƧƕ,0,0,1,7
rhymewritten,perceptual,397.159,7,1,ΓΘƧЖ,ΓΘƧЖ,1,0.948,1,7
semauditory,language,0.037,1,0,mother,cat,0,0,1,1
semauditory,language,5.013,1,0,film,baby,0,0,1,2
semauditory,language,10.012,2,1,cabin,log,1,3.796,1,2
semauditory,language,15.013,2,1,tub,bath,0,0,0,1
semauditory,perceptual,20.011,3,0,da211,da312,0,0,1,3
semauditory,perceptual,25.012,3,1,da321,da321,1,2.579,1,4
semauditory,perceptual,30.013,4,0,da2312,da1321,0,0,1,4
semauditory,perceptual,35.012,4,1,da1331,da1331,1,2.723,1,5
semauditory,language,40.016,1,1,female,male,0,0,0,1
semauditory,language,44.012,1,1,cash,money,0,0,0,1
semauditory,language,48.012,1,0,sand,blood,1,3.443,0,1
semauditory,language,52.013,1,0,dog,father,0,0,1,1
semauditory,language,56.014,1,1,plasma,blood,0,0,0,1
semauditory,perceptual,60.012,5,0,da2221,da2231,0,0,1,5
semauditory,perceptual,64.013,5,1,da3321,da3321,1,2.458,1,6
semauditory,perceptual,68.014,6,1,da31123,da31123,1,2.649,1,6
semauditory,perceptual,72.013,6,0,da22321,da22312,1,2.594,0,4
semauditory,perceptual,76.013,4,1,da1111,da1111,0,0,0,2
semauditory,language,80.012,1,0,shoes,milk,0,0,1,1
semauditory,language,85.013,1,1,navy,army,1,2.586,1,2
semauditory,language,90.012,2,0,lady,penny,0,0,1,2
semauditory,language,95.013,2,0,ceiling,square,0,0,1,3
semauditory,perceptual,100.014,2,0,da33,da31,0,0,1,2
semauditory,perceptual,105.012,2,1,da31,da31,1,2.611,1,3
semauditory,perceptual,110.013,3,0,da223,da113,0,0,1,3
semauditory,perceptual,115.012,3,0,da322,da112,0,0,1,4
semauditory,language,120.013,3,1,kiss,hug,0,0,0,1
semauditory,language,124.014,1,0,salt,world,0,0,1,1
semauditory,language,128.012,1,1,cap,hat,1,3.483,1,2
semauditory,language,132.013,2,0,baseball,pants,0,0,1,2
semauditory,language,136.012,2,0,stadium,orange,1,3.259,0,1
semauditory,perceptual,140.012,4,0,da2132,da3231,0,0,1,4
semauditory,perceptual,144.013,4,1,da1233,da1233,1,2.585,1,5
semauditory,perceptual,148.012,5,0,da2331,da2332,1,2.419,0,3
semauditory,perceptual,152.013,3,0,da332,da112,0,0,1,3
semauditory,perceptual,156.011,3,1,da212,da212,1,2.676,1,4
semauditory,language,160.012,1,1,zoo,animal,0,0,0,1
semauditory,language,165.013,1,1,leg,arm,1,3.818,1,1
semauditory,language,170.012,1,0,rat,money,0,0,1,2
semauditory,language,175.013,2,0,knife,moon,0,0,1,2
semauditory,perceptual,180.014,4,1,da2211,da2211,1,2.504,1,4
semauditory,perceptual,185.012,4,0,da1223,da2121,0,0,1,5
semauditory,perceptual,190.013,5,1,da3213,da3213,1,2.865,1,5
semauditory,perceptual,195.012,5,0,da2131,da3131,1,3.074,0,3
semauditory,language,200.011,2,1,mail,letter,0,0,0,1
semauditory,language,205.012,1,0,husband,home,1,4.018,0,1
semauditory,language,210.013,1,0,key,letter,0,0,1,1
semauditory,language,215.011,1,1,salt,pepper,1,4.266,1,2
semauditory,perceptual,220.012,3,0,da123,da111,0,0,1,3
semauditory,perceptual,225.011,3,1,da333,da333,1,2.459,1,4
semauditory,perceptual,230.012,4,0,da1211,da1122,0,0,1,4
semauditory,perceptual,235.013,4,1,da2333,da2333,1,2.376,1,5
semauditory,language,240.012,2,1,shop,store,1,3.818,1,2
semauditory,language,244.307,2,0,lunch,shoe,0,0,1,3
semauditory,language,248.011,3,0,monastery,drink,0,0,1,3
semauditory,language,252.012,3,1,wire,telephone,1,2.826,1,4
semauditory,language,256.013,4,0,jaw,sight,0,0,1,4
semauditory,perceptual,260.011,5,0,da3223,da1223,0,0,1,5
semauditory,perceptual,264.012,5,1,da2223,da2223,1,2.354,1,6
semauditory,perceptual,268.013,6,1,da31113,da31113,1,2.449,1,6
semauditory,perceptual,272.011,6,0,da13313,da13321,0,0,1,7
semauditory,perceptual,276.012,7,0,da22122,da22222,0,0,1,7
semauditory,language,280.013,4,0,pond,forever,0,0,1,5
semauditory,language,283.345,5,1,hallway,corridor,0,0,0,3
semauditory,language,286.678,3,0,cherry,coal,0,0,1,3
semauditory,language,290.013,3,1,coat,jacket,1,2.737,1,4
semauditory,language,293.345,4,0,lip,bee,1,2.628,0,2
semauditory,language,296.68,2,1,taxi,cab,0,0,0,1
semauditory,perceptual,300.012,7,0,da12132,da12112,0,0,1,7
semauditory,perceptual,303.345,7,1,da23221,da23221,1,2.332,1,7
semauditory,perceptual,306.68,7,1,da32132,da32132,1,2.838,1,7
semauditory,perceptual,310.025,7,0,da11113,da12113,0,0,1,7
semauditory,perceptual,313.344,7,1,da22322,da22322,1,2.309,1,7
semauditory,perceptual,316.679,7,0,da32233,da31233,0,0,1,7
semauditory,language,320.012,1,0,shoes,college,0,0,1,1
semauditory,language,324.015,1,0,sound,square,0,0,1,2
semauditory,language,328.011,2,1,sound,noise,1,2.626,1,2
semauditory,language,332.012,2,0,mall,stream,0,0,1,3
semauditory,language,336.013,3,1,trick,treat,1,3.592,1,3
semauditory,perceptual,340.081,7,0,da23131,da21131,0,0,1,7
semauditory,perceptual,344.012,7,1,da13113,da13113,1,2.193,1,7
semauditory,perceptual,348.013,7,0,da23122,da23123,1,2.52,0,5
semauditory,perceptual,352.011,5,1,da3312,da3312,0,0,0,3
semauditory,perceptual,356.012,3,0,da123,da221,0,0,1,3
semauditory,language,360.013,3,0,turtle,vacation,0,0,1,4
semauditory,language,364.011,4,1,bake,cook,1,2.465,1,4
semauditory,language,368.012,4,0,bloom,soda,0,0,1,5
semauditory,language,372.013,5,1,lid,jar,0,0,0,3
semauditory,language,376.011,3,1,zipper,pants,0,0,0,1
semauditory,perceptual,380.012,3,1,da221,da221,0,0,0,1
semauditory,perceptual,384.011,1,1,da1,da1,1,3.09,1,1
semauditory,perceptual,388.014,1,0,da1,da2,0,0,1,2
semauditory,perceptual,392.015,2,0,da13,da23,0,0,1,2
semauditory,perceptual,396.011,2,1,da13,da13,1,2.458,1,3
